forgetting;lifetimes;snapshot_interval;mu;theta;lambda;units
exponential;2880;0;0.3;0.1;0.0003814626002319825;60
exponential;2880;0;0.3;0.2;0.00014078649587089036;60
exponential;2880;0;0.5;0.1;0.0005588326084840626;60
exponential;2880;0;0.5;0.2;0.0003181565041229705;60
exponential;2880;0;0.8;0.1;0.0007220283130832763;60
exponential;2880;0;0.8;0.2;0.0004813522087221842;60
exponential;2880;5;0.3;0.1;0.0003814626002319825;60
exponential;2880;5;0.3;0.2;0.00014078649587089036;60
exponential;2880;5;0.5;0.1;0.0005588326084840626;60
exponential;2880;5;0.5;0.2;0.0003181565041229705;60
exponential;2880;5;0.8;0.1;0.0007220283130832763;60
exponential;2880;5;0.8;0.2;0.0004813522087221842;60
exponential;2880;10;0.3;0.1;0.0003814626002319825;60
exponential;2880;10;0.3;0.2;0.00014078649587089036;60
exponential;2880;10;0.5;0.1;0.0005588326084840626;60
exponential;2880;10;0.5;0.2;0.0003181565041229705;60
exponential;2880;10;0.8;0.1;0.0007220283130832763;60
exponential;2880;10;0.8;0.2;0.0004813522087221842;60
exponential;2880;30;0.3;0.1;0.0003814626002319825;60
exponential;2880;30;0.3;0.2;0.00014078649587089036;60
exponential;2880;30;0.5;0.1;0.0005588326084840626;60
exponential;2880;30;0.5;0.2;0.0003181565041229705;60
exponential;2880;30;0.8;0.1;0.0007220283130832763;60
